Crater,Status,APBT D (m),APBT D min (m),APBT D max (m),APBT d (m),APBT d/D,APBT d min (m),APBT d max (m),CIRCLE d (m)
1,diam. ref.,153.6037103836452,140.91708374023438,164.53835677917107,7.712632702106021,0.05021123957775968,6.807825239605108,8.399243899802798,6.235666910807292
2,diam. ref.,187.7377256033362,161.1474609375,204.0667555200647,8.754593946431404,0.04663204434961915,6.228599575660041,11.530354759730074,8.218963623046875
3,diam. ref.,206.8395386151865,170.39141845703125,232.22827841619812,10.578035022633893,0.05114126193403351,8.065518978219416,11.915780586806306,11.383392333984375
4,diam. ref.,162.28884568429342,145.80984497070312,174.48054696595713,10.496360611508655,0.06467703043453533,10.315250032447238,10.763176589165766,8.488576253255209
5,diam. ref.,92.56443682607703,72.57591247558594,108.68988846701764,0.9407533957127043,0.010163227130958762,0.7699887396376539,1.0337194709971982,0.6962788899739584
6,diam. ref.,241.92800859999124,202.991455078125,281.73304278485386,18.021118628333586,0.07448959189396741,16.213201646394396,20.38051906132688,11.817586263020834
7,diam. ref.,103.81827142579364,90.48851776123047,111.92330653497977,4.853695094984952,0.04675183884615375,4.708782955569291,5.03897996136493,4.959299723307292
8,diam. ref.,60.77494860479817,48.95131301879883,66.98281338710592,1.136211893251243,0.01869539866894333,0.979290506532493,1.402599832704368,1.3440653483072917
9,diam. ref.,151.8156907723646,142.00173950195312,157.18986050118667,13.898518845242583,0.0915486322562158,13.294220514971471,14.422437654082387,11.765472412109375
10,diam. ref.,124.7559150192576,105.54049682617188,133.9041886879826,2.673581919032017,0.02143050226211172,2.4701326984536536,2.822531867284738,2.5559183756510415
11,diam. ref.,79.06938094756913,72.5615234375,85.28499393506732,1.3676433182981214,0.017296750042914904,1.243437354314267,1.464445655095517,0.2741902669270833
12,diam. ref.,70.97259135711398,63.317344665527344,74.95734208087255,4.33605544367731,0.0610947882945334,4.191693785273287,4.5589532432957185,3.981658935546875
13,diam. ref.,87.73023815381669,85.60983276367188,90.90279730038024,3.542227726324692,0.04037636054417331,3.4617732178611504,3.7027705323142754,3.4688720703125
14,diam. ref.,55.24752182468933,52.090858459472656,57.82071912086925,0.5223648699937181,0.009454991875495866,0.3566169703507285,0.6795747806078225,
15,diam. ref.,58.055572750396486,52.03239440917969,62.36498072167393,1.9657272361851597,0.03385940648000471,1.9247881603830592,1.9965044689768092,2.0806172688802085
16,diam. ref.,37.14597205079286,30.13527488708496,43.536213919128336,0.14142408039164897,0.0038072521079342806,0.13805796648171054,0.1436397066490258,
17,new candidate,106.99031116866895,93.0188980102539,126.26105097821217,5.633107426145879,0.05265063130123393,5.578762030409166,5.71192150863493,5.516276041666667
18,new candidate,36.506315467156654,29.836254119873047,47.6164094094532,1.585255239123531,0.043424136860640596,1.5723913595572867,1.5990303365126124,1.2477823893229167
19,new candidate,157.57289794067097,146.76382446289062,170.449483853257,7.4537823715511236,0.04730370811836949,7.011499071006256,7.806128097951444,6.644551595052083
20,new candidate,95.3828822908099,81.40017700195312,112.35412311295154,6.791340307526582,0.07120082916786552,6.491906872918037,6.990584520583411,6.215016682942708
