Crater,Status,APBT D (m),APBT D min (m),APBT D max (m),APBT d (m),APBT d/D,APBT d min (m),APBT d max (m),CIRCLE d (m)
10,not in Daly,7.207741613163958,5.845676422119141,8.238356827043637,0.18709050407186587,0.025956882767574595,0.07824137022353739,0.24261880559359383,0.19553120930989584
14,not in Daly,18.132684774779694,13.885719299316406,22.572393767878925,0.6559306873171522,0.036173941998344894,0.5755932764522811,0.7734582999768236,0.5232645670572916
15,not in Daly,10.409451613341577,8.971580505371094,12.182699568675297,0.6483387453678043,0.06228366002843436,0.6202524009667627,0.6665475669823877,0.7029927571614584
16,not in Daly,10.980663383824512,9.557602882385254,13.418635662194799,0.3841513388222874,0.03498434706487554,0.37706108817124573,0.39413567313218323,0.3332061767578125
22,not in Daly,179.9856646656956,160.7398681640625,192.94239693933687,8.266369641371218,0.04592793352028968,8.21608946775163,8.344501595246442,
24,not in Daly,143.30212093018153,135.5166778564453,151.4645365257789,3.6282143910647826,0.025318637069108637,3.606353632601241,3.651092402132491,2.9692840576171875
28,not in Daly,52.16161712840435,42.566280364990234,58.4032945336739,0.9708807751562555,0.018612934732569232,0.9340431340518478,0.9993142533004971,0.0045166015625
29,not in Daly,31.560703129722373,27.01930046081543,35.49553263813544,0.7418020294207963,0.023503976650070334,0.6446192491450802,0.8313013139020313,0.5890604654947916
31,not in Daly,194.44090852643944,185.46986389160156,213.5093692663461,9.037762763576646,0.04648076802391468,8.783045249964289,9.355404573465876,
32,not in Daly,95.14871350936168,89.24836730957031,100.2855493879466,7.3324182286317905,0.07706271538721701,7.2993949507132925,7.384533510054723,0.5032958984375
37,not in Daly,68.14186722751754,53.84413146972656,83.01459944112206,2.014046806117799,0.02955667180931714,1.7621120453603396,2.3163523822973104,1.7442118326822917
42,not in Daly,57.38323859242191,47.6511344909668,67.71919009561545,0.9224376302050246,0.01607503607032111,0.7891811813761933,1.0489688874637864,0.5050099690755209
