Asteroid,n,Median D (m),Median d (m),Median d/D,Median d/pred.,Common-range d/pred.
Bennu,45,61.39414086440173,3.33596947263131,0.05497817597206849,0.9502758546590033,0.9505209627731533
Ryugu,77,43.41726071439047,3.994049549922579,0.08560850401317516,1.4709323569819708,1.5215057236992342
Itokawa,21,48.774142432040605,1.671748975026767,0.04885450838110616,0.8264483206858715,0.8840486955215565
Didymos,20,99.60057685830176,4.594875269331132,0.04669194159788645,0.8227846446031091,0.5833298382451104
