Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_1,-7.19,92.99,273.75714342946634,288.0025674943825,262.4512023925781,15.470445850659038,16.528289654398918,14.123175182566058
crater_2,28.34,353.68,214.29988262806106,244.56062439874495,199.84310913085938,23.356885986002982,23.687157388997775,22.94677042610715
crater_3,-0.7,330.28,199.71784463248693,223.59347763471794,161.81434631347656,12.458646022957623,13.486102936820203,11.74955866750281
crater_4,-14.83,51.2,183.88162763767318,200.63723798122723,163.69386291503906,22.65030431613667,22.717046945438256,22.588400216022535
crater_5,-50.56,9.84,180.56182435349965,201.05552622856158,153.61862182617188,12.40525170266246,13.260761142766626,11.840961338079126
crater_6,0.42,157.84,152.5533221230055,166.3375289144549,130.30792236328125,22.681162948946433,23.975666550842334,21.62735597221723
crater_7,30.37,145.99,142.43711514319224,159.36891968721775,123.5634536743164,11.752155203016912,12.038318533095037,11.410846609266912
crater_8,3.24,229.95,128.11949834939992,143.98803464114513,111.37818908691406,6.46920218867884,7.237984224346405,6.045962293891932
crater_9,-17.19,14.29,122.68105172682033,133.87941586292607,113.60142517089844,16.07868946471992,16.45998625833971,15.757898855995961
crater_10,-31.5,47.26,139.17177343240726,151.19945519132364,129.01771545410156,15.658036331152744,15.820511917090244,15.525101760840244
crater_11,17.02,332.23,92.0506636644877,94.90510358568751,87.47073364257812,11.681981503902136,11.835744321284949,11.528218686519324
crater_12,-1.88,289.49,76.44302963989765,82.45845888331596,70.44965362548828,5.621747688283297,5.723350878387464,5.488335009246839
crater_13,-63.73,24.45,105.57540531100386,113.92668918826462,94.22451782226562,9.545652438197957,9.924258573331485,9.32777324765965
crater_14,16.9,6.44,70.44849425318405,79.9299351591416,60.674957275390625,7.414778761356729,8.239110081955005,6.956974062971653
crater_15,-4.54,95.52,74.32156901343441,80.58796847001308,65.23149871826172,11.734083296844233,12.356641890594233,10.906873824187983
crater_16,6.01,308.75,78.25386400674881,86.45858137251007,72.66439056396484,5.49750568964608,5.689212744704832,5.348954402670017
crater_17,23.7,205.33,66.9450694533897,71.58886014960159,62.22943878173828,7.468632686181745,7.543970414046328,7.322901078108828
crater_18,20.86,322.68,70.30115982200192,74.67990221316101,65.30921936035156,6.040909255279625,6.221217675799437,5.884150430761906
crater_19,57.73,342.98,59.69475574353563,67.36026823345644,53.865928649902344,5.252013511669493,5.69657324474241,4.856821047476785
crater_20,-11.64,287.71,88.56906944329408,95.84673258418057,82.4551010131836,5.607074110197156,5.618843722827364,5.584603000171114
crater_21,-8.44,119.53,62.57911590451605,67.60779001850709,59.94178771972656,5.418161662063596,5.573374064407346,5.237955363235471
crater_22,8.28,111.52,68.92384200255869,75.9904907393512,63.7982177734375,5.715424928780446,5.827597373441904,5.565024131254404
crater_23,18.59,149.73,66.21221048731566,73.69110343068363,58.09771728515625,5.500325945387999,5.509450701247374,5.494313982497374
crater_24,19.65,136.94,61.58319077258991,66.22348662545669,56.22013854980469,7.641512477294668,7.783663356200918,7.448092067138418
crater_25,-12.18,179.11,58.12331970239237,67.40544316950012,44.31896209716797,6.216420649746813,6.482972001540929,5.816894363498193
crater_26,28.48,213.16,54.508928063108264,62.17741557369085,49.1865234375,3.7617389302047095,3.801340574084918,3.713785642444293
crater_27,-16.28,199.13,52.33343458648428,56.53948135104787,48.63692855834961,4.480187044820279,4.633558219950487,4.242475456278612
crater_28,36.81,121.83,86.51148811969618,101.57928269112269,81.42373657226562,4.835501182534093,4.9953319117007595,4.6942454859195095
crater_29,-36.18,176.65,60.868258413178204,67.81233304445512,49.66241455078125,5.369095767539648,5.506732221280856,5.203418012296481
crater_30,-0.07,329.24,42.74731769988577,45.015781280699166,39.06110382080078,4.67510091030249,4.942634429470672,4.35844817860675
crater_31,-17.2,307.19,45.253672968340595,51.86633728197089,37.746307373046875,3.174515821240751,3.3838765797042925,2.7898214039230425
crater_32,33.09,81.45,73.84334541216084,87.9254699723012,63.25894546508789,6.998498395521096,7.093804792005471,6.904351667005471
crater_33,-26.28,17.83,43.417260714390466,49.16190593462514,38.667335510253906,4.067584737172031,4.125090026885573,4.028135681182448
