Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_2,-10,175,143.56815724288697,150.35758218596925,136.7787322998047,0.18715801815261557,0.18715801815261557,0.18715801815261557
crater_3,-2,275,129.3912301960371,164.83776891800196,80.18186950683594,9.698429224693786,9.821046660149108,9.635368893349181
crater_4,0,128,85.29621470416413,107.6912109940216,62.90121841430664,7.104029708001789,7.104029708001789,7.104029708001789
crater_6,8,8,85.39791205601944,95.33947971988147,72.92359924316406,1.7005737781712407,2.184537527571109,1.3510105700987936
crater_7,-8,17,85.70412461627734,109.14182511650446,70.55106353759766,4.975943000008485,6.584212760070045,1.6887814880464305
crater_8,15,172,67.37303281489517,80.82768111884786,60.065582275390625,1.0928099574225436,1.402218137767079,0.7795646331988735
crater_9,20,134,61.2694794690124,72.74486152631374,52.61664962768555,3.7656403844027824,4.321588065469541,2.4370694420784105
crater_10,-40,244,52.68448110859143,66.55506777105968,39.761138916015625,0.49463532913634367,0.8945320382641455,0.09473862000854183
crater_11,-6,151,47.93708322636104,53.98294254525138,41.8912239074707,0.7517743171104883,0.7517743171104883,0.7517743171104883
crater_12,17,215,43.087424832362466,49.331404170046085,33.668128967285156,3.3249813095419825,3.5331192687838495,3.154962010750097
crater_13,34,269,36.273021247845755,44.069787739515874,27.88833999633789,1.1505237161192983,1.3238758695823094,1.0072317987997792
crater_14,4,145,40.27790025688346,58.225648650398306,24.291316986083984,1.2750572085730907,1.5847828340584158,0.8361866426521658
crater_15,-10,102,28.56031908724818,39.76219717572968,23.70374870300293,1.3953003482150323,1.7014008665603342,1.1870828416540746
crater_16,-18,205,25.581224729580576,34.07228139241599,16.20087432861328,3.332923862407995,3.7804794044001824,3.0898055762751824
crater_17,-26,216,29.764657079032727,35.30925876691106,23.696216583251953,2.0576902318942265,2.736547169038161,1.8945824473584736
crater_18,-36,221,26.504354363115045,36.14346410300942,13.236233711242676,1.1119848258251797,1.3162133915729015,0.49621714439585674
crater_19,-33,212,25.633018359681763,30.15997320104156,21.22297477722168,1.3935806481726245,1.4203918664343433,1.3476989953405933
crater_20,-15,254,37.88286071446508,45.8156875616582,28.497304916381836,1.7603581914962774,2.0071450350044415,0.5598273125691549
crater_21,-18,7,19.49260144935719,27.164810675788615,11.875566482543945,0.8793442393248512,0.9893434074164134,0.6232020204306536
