Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_1,25,348,141.1533011938427,141.1533011938427,141.1533011938427,0.0292816162109375,0.0292816162109375,0.0292816162109375
crater_2,-10,175,172.0214287745885,172.0214287745885,172.0214287745885,0.843719482421875,0.843719482421875,0.843719482421875
crater_3,-2,275,137.1271089385099,141.4815674982992,128.7713383491745,1.280841064453125,2.0538101196289062,0.52520751953125
crater_4,0,128,124.88010469384463,129.483703675074,120.27650571261525,2.334758758544922,4.5234375,0.14608001708984375
crater_6,8,8,83.37647464485524,89.82554169021043,79.18107389796475,1.5521621704101562,2.0509490966796875,1.0670928955078125
crater_7,-8,17,93.88103385962162,107.55708474846224,80.30733712044389,3.289196014404297,4.266815185546875,0.1956787109375
crater_8,15,172,71.3934628140588,77.27146608271457,67.82137573776946,0.8055964878627232,1.0659637451171875,0.2591094970703125
crater_9,20,134,64.3117880693181,67.1611312172851,60.70308115006671,2.879375457763672,3.2694854736328125,2.673309326171875
crater_10,-40,244,53.35220117540847,54.46647928527517,52.23792306554177,0.16534423828125,0.2437286376953125,0.0869598388671875
crater_11,-6,151,49.105457545921,49.105457545921,49.105457545921,0.0543060302734375,0.0543060302734375,0.0543060302734375
crater_12,17,215,44.33032652349419,45.99218757221254,42.201674240712315,1.67156982421875,1.79608154296875,1.46636962890625
crater_13,34,269,38.198527041726365,39.447859270349056,37.166029165531356,1.0420345730251737,1.1841506958007812,0.9385604858398438
crater_14,4,145,46.43941045324645,51.252198482761436,40.17770243825884,1.3327401968149037,1.699462890625,0.8236846923828125
crater_15,-10,102,29.496248027706688,33.58156478457936,26.298065691252614,1.3864813910590277,1.5568923950195312,1.2133865356445312
crater_16,-18,205,27.96187636730127,29.63235762025696,25.341407336533095,3.4348669052124023,3.634002685546875,3.319244384765625
crater_17,-26,216,29.627067868644744,31.927085370020173,27.626067730111558,2.1485619178185096,2.219696044921875,2.0493087768554688
crater_18,-36,221,28.84026409869266,36.40088502954836,22.195271018622982,1.2150375366210937,1.6222991943359375,0.7325592041015625
crater_19,-33,212,26.508642656195104,27.059386323308797,25.3049399520882,1.43387451171875,1.446075439453125,1.4222793579101562
crater_20,-15,254,38.98276642352581,45.497114193536284,33.70362047550179,1.6335372924804688,1.9677581787109375,1.1542205810546875
crater_21,-18,7,24.373086731718345,27.977961617809196,21.11488440967808,0.852813720703125,1.0096435546875,0.6778564453125
