Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_1,39.6,2.8,153.6037103836452,164.53835677917107,140.91708374023438,7.712632702106021,8.399243899802798,6.807825239605108
crater_2,20.6,25.9,187.7377256033362,204.0667555200647,161.1474609375,8.754593946431404,11.530354759730074,6.228599575660041
crater_3,1.0,44.5,206.8395386151865,232.22827841619812,170.39141845703125,10.578035022633893,11.915780586806306,8.065518978219416
crater_4,-16.6,309.1,162.28884568429342,174.48054696595713,145.80984497070312,10.496360611508655,10.763176589165766,10.315250032447238
crater_5,-33.6,40.7,92.56443682607703,108.68988846701764,72.57591247558594,0.9407533957127043,1.0337194709971982,0.7699887396376539
crater_6,-53.6,21.9,237.566872168373,268.2575142046958,202.991455078125,16.84141841183694,17.469635177279486,16.213201646394396
crater_7,-70.4,263.8,103.81827142579364,111.92330653497977,90.48851776123047,4.853695094984952,5.03897996136493,4.708782955569291
crater_8,-39.5,215.4,60.77494860479817,66.98281338710592,48.95131301879883,1.136211893251243,1.402599832704368,0.979290506532493
crater_9,-43.1,330.2,151.8156907723646,157.18986050118667,142.00173950195312,13.898518845242583,14.422437654082387,13.294220514971471
crater_10,-63.3,85.3,124.7559150192576,133.9041886879826,105.54049682617188,2.673581919032017,2.822531867284738,2.4701326984536536
crater_11,-68.3,312.9,79.06938094756913,85.28499393506732,72.5615234375,1.3676433182981214,1.464445655095517,1.243437354314267
crater_12,-65.9,162.4,70.97259135711398,74.95734208087255,63.317344665527344,4.33605544367731,4.5589532432957185,4.191693785273287
crater_13,-56.2,212.9,87.73023815381669,90.90279730038024,85.60983276367188,3.542227726324692,3.7027705323142754,3.4617732178611504
crater_15,-43.9,5.3,58.055572750396486,62.36498072167393,52.03239440917969,1.9657272361851597,1.9965044689768092,1.9247881603830592
crater_17,,,106.99031116866895,126.26105097821217,93.0188980102539,5.633107426145879,5.71192150863493,5.578762030409166
crater_18,,,36.506315467156654,47.6164094094532,29.836254119873047,1.585255239123531,1.5990303365126124,1.5723913595572867
crater_19,,,157.57289794067097,170.449483853257,146.76382446289062,7.4537823715511236,7.806128097951444,7.011499071006256
crater_20,,,95.3828822908099,112.35412311295154,81.40017700195312,6.791340307526582,6.990584520583411,6.491906872918037
