asteroid,n_craters,median_depth_ratio_to_global_scaling,mean_depth_ratio_to_global_scaling,median_log10_depth_residual,iqr_log10_depth_residual,pct_deeper_than_global_scaling
Bennu,45,0.9502758546590033,0.9198839808583454,-0.022150305483885302,0.23710478632649995,44.44444444444444
Didymos,20,0.8227846446031091,0.7273085067870426,-0.08472253781139433,0.401536386892026,20.0
Itokawa,21,0.8264483206858715,0.8586233483807096,-0.08278429846600407,0.347690519430649,33.33333333333333
Ryugu,77,1.4709323569819708,1.52278955123472,0.16759270150731836,0.2726700326388625,83.11688311688312
