asteroid,n_craters,diameter_min_m,diameter_median_m,diameter_max_m,depth_min_m,depth_median_m,depth_max_m,d_to_D_mean,d_to_D_median,d_to_D_iqr,d_to_D_min,d_to_D_max,diameter_range_pct_median,depth_range_pct_median
Bennu,45,7.207741613163958,61.39414086440173,194.44090852643944,0.1870905040718658,3.33596947263131,12.461903070716724,0.053532303716822945,0.05497817597206849,0.028722212408822737,0.01607503607032111,0.09458115868949443,22.967094727316358,3.3446444341742994
Didymos,20,36.506315467156654,99.60057685830176,243.28775743028288,0.1414240803916489,4.594875269331132,13.898518845242585,0.0414771732214981,0.04669194159788645,0.030771877912013995,0.0038072521079342784,0.09154863225621582,21.690899786047623,9.565323305738634
Itokawa,21,19.49260144935719,48.774142432040605,141.94113084022945,0.5753216108543668,1.671748975026767,11.533298834191202,0.049997528952218484,0.04885450838110616,0.03832870926275664,0.009207273988692468,0.13028789268849994,55.615479326356024,41.638003709091016
Ryugu,77,11.309619702725804,43.41726071439047,273.75714342946634,0.1926422665382764,3.994049549922579,23.356885986002982,0.08876993882777476,0.08560850401317516,0.0479602923500347,0.012470126694528084,0.15788261002298232,23.853289710585862,6.226581576875214
