asteroid,crater_id,crater,lat,lon,diameter_m,diameter_min_m,diameter_max_m,diameter_range_m,diameter_range_pct,depth_m,depth_min_m,depth_max_m,depth_range_m,depth_range_pct,d_to_D,d_to_D_min,d_to_D_max,global_scaling_predicted_depth_m,depth_ratio_to_global_scaling,log10_depth_residual
Didymos,5,crater_5,-33.6,40.7,92.56443682607704,72.57591247558594,108.68988846701764,36.1139759914317,39.01495782801301,0.9407533957127044,0.7699887396376539,1.0337194709971982,0.2637307313595443,28.03399196446639,0.010163227130958762,0.007084272056009239,0.014243285902122618,5.308825646350699,0.17720555512298297,-0.7515226677681419
Didymos,6,crater_6,-53.6,21.9,243.28775743028288,202.991455078125,271.7952070312521,68.80375195312712,28.280811447260632,11.634856053406889,1.2217313365467817,17.469635177279486,16.247903840732704,139.64851620123855,0.04782343417646488,0.004495043712843332,0.08606093872550435,13.610702583624755,0.8548314079983617,-0.06811952947733113
Didymos,7,crater_7,-70.4,263.8,103.81827142579364,90.48851776123048,111.92330653497976,21.434788773749275,20.646451226141107,4.853695094984952,4.708782955569291,5.03897996136493,0.3301970057956396,6.8030026471340035,0.04675183884615375,0.0420715139799559,0.05568640183344748,5.936718843216567,0.8175719994776066,-0.08747399084023544
Didymos,8,crater_8,-39.5,215.4,60.77494860479817,48.95131301879883,66.98281338710592,18.031500368307093,29.66929760082678,1.136211893251243,0.979290506532493,1.402599832704368,0.423309326171875,37.25619566968143,0.01869539866894333,0.01462002649654314,0.028652956298960277,3.523533630894319,0.3224637572035484,-0.49151909011712636
Didymos,9,crater_9,-43.1,330.2,151.8156907723646,142.00173950195312,157.18986050118667,15.188120999233547,10.0043157080561,13.898518845242585,13.294220514971473,14.422437654082389,1.128217139110916,8.117535053003873,0.09154863225621582,0.08457428788717011,0.10156521817737324,8.596951341331879,1.6166799477417262,0.20862405163966535
Didymos,10,crater_10,-63.3,85.3,124.7559150192576,105.54049682617188,133.9041886879826,28.363691861810736,22.73534834595414,2.673581919032017,2.4701326984536536,2.822531867284738,0.35239916883108435,13.180788152497385,0.02143050226211172,0.01844701590485301,0.02674359086951738,7.1003820010140775,0.37654057466910595,-0.4241882189175794
Didymos,11,crater_11,-68.3,312.9,79.06938094756913,72.5615234375,85.28499393506732,12.72347049756732,16.091526637857765,1.3676433182981214,1.243437354314267,1.464445655095517,0.22100830078125,16.159790920944946,0.017296750042914904,0.014579790616634995,0.020182123882182542,4.553263644102488,0.3003655015824815,-0.5223499496063984
Didymos,12,crater_12,-65.9,162.4,70.97259135711398,63.317344665527344,74.95734208087255,11.639997415345206,16.400693835139872,4.33605544367731,4.191693785273287,4.558953243295719,0.3672594580224322,8.469897647594832,0.0610947882945334,0.055921056815899484,0.0720016492696954,4.098376358188393,1.057993474663215,0.024482989129698485
Didymos,13,crater_13,-56.2,212.9,87.73023815381669,85.60983276367188,90.90279730038024,5.292964536708368,6.033227138205482,3.542227726324692,3.4617732178611504,3.702770532314275,0.24099731445312456,6.803552257866156,0.04037636054417331,0.03808214181156634,0.04325169682945027,5.03851722855492,0.7030297934181375,-0.15302626979821377
Didymos,14,crater_14,-35.8,12.9,55.24752182468933,52.090858459472656,57.82071912086925,5.729860661396593,10.37125371809166,0.5223648699937181,0.3566169703507285,0.6795747806078225,0.322957810257094,61.826096816383895,0.009454991875495866,0.00616763291382197,0.013045950877091808,3.210936585857162,0.1626830228583516,-0.7886577664462997
