asteroid,common_diameter_min_m,common_diameter_max_m,n_craters,diameter_median_m,depth_median_m,d_to_D_median,depth_ratio_to_global_scaling_median,log10_depth_residual_median
Bennu,36.506315467156654,141.94113084022945,27,66.61692408054265,3.9166814340649783,0.05497817597206849,0.9505209627731533,-0.0220383007698004
Didymos,36.506315467156654,141.94113084022945,13,79.06938094756913,1.96572723618516,0.03385940648000472,0.5833298382451104,-0.23408580815121305
Itokawa,36.506315467156654,141.94113084022945,14,74.96480177299333,2.54266975051913,0.05149874996940093,0.8840486955215565,-0.05590032335705754
Ryugu,36.506315467156654,141.94113084022945,37,61.58319077258991,5.49750568964608,0.08820846706494921,1.5215057236992342,0.18227359045449998
